name,credits,prereqs,coursenum,offeredin,description,department
"Introduction to Research",2,null,SCI280,null,"This is a topics course for discovery-based research introducing concepts and skills based on instructor-generatedresearch projects. It is offered through a selection-process based on student interest, invitation, and interview selection.It is recommended for students in the Honors Program and can also fulfill an AugExperience as an experiential course inresearch if the student project results in presentation of the work in subsequent semesters. All are welcome to apply.",
"Science in the World",1,null,SCI301,null,"A weekly seminar designed especially for students transferring to pursue a STEM degree at Augsburg University whichexplores modes of discourse and sets of expectations common to upper-level science courses.",
"Integrated Science",2,null,SCI490,null,"The Natural Science Keystone explores the connections of science with the world at large, including faith, vocation,ethics, and professional accountability. Students will reflect on science as a vocation and the philosophy of science in aglobal context of the interconnectedness of faith, reason, ethics, sustainability, and socio-political-economic situation.(Prereq: senior biology, chemistry, or physics major)",
"City Life: Introduction to Urban Sociology",4,null,SOC111,null,"How is community possible in the context of multicultural, social, and political forces that are characteristic of urbanlife? The cultural and structural dynamics of the Twin Cities are a basis for exploring these themes.",
"Introduction to Sociology",4,null,SOC121,null,"What is society and how does it make us who we are? Sociology offers insights into discovering the world and oneï¿½splace in it. Course study focuses on an understanding of culture, social structure, institutions, and our interactions witheach other.",
Internship,4,null,SOC199,null,"This course requires at least 140 hours at a college-approved internship site and completion of a learning agreementbefore or at the beginning of the internship. Participation in a biweekly on-campus seminar is also required to receivecourse credit.",
"Family Systems: Cross Cultural Perspectives",4,null,SOC231,null,"The term family is a universal concept, yet its membership, rituals, and functions vary dramatically across world culturesand sub-cultures in the United States. Family systems are explored with respect to cultural and historical settings,variations among families, and modern cultural and social patterns.",
"Protest and Social Change: The Sociology of Social Movements",4,null,SOC240,null,"Why do people engage in protests and join social movements? What impacts do social movements have on socialinstitutions, the state, culture, and even personal identity? This course explores these and other questions throughstudying social movement theory and several social movements occurring over the last two centuries. (SOC 121 andcourses on 19th or 20th century U.S. history recommended, but not required.)",
"Race, Class and Gender",4,null,SOC265,null,"Who gets what, when, and how? Individuals and groups from diverse backgroundsï¿½race, ethnicity, class, gender, andsexualityï¿½receive unequal portions of wealth, power, and prestige in our society. This course focuses on both thecollective and individual processes involved in social inequality.",
"Sociology of Sexualities",4,null,SOC266,null,"What we mean by ï¿½sexï¿½ changes over time. During different historical time periods itï¿½s been a sin, a means of forgingties between powerful families, a source of psychological perversion, a means to pleasure, a symbol of love, as well as apersonal identity. This class explores how sexuality and its components (desire, pleasure, love, the body) are sociallyconstructed.",
